County,State,Total Population,Population ages 25 to 44,Population ages 45 to 64,Population ages 65 and above,State,County,Tract
San Diego County,California,2773,432,970,875,06,073,000100
San Diego County,California,2158,642,633,503,06,073,000201
San Diego County,California,4828,2159,1197,509,06,073,000202
San Diego County,California,4946,2256,1289,858,06,073,000300
San Diego County,California,3916,2106,764,373,06,073,000400
San Diego County,California,2957,1373,725,400,06,073,000500
San Diego County,California,2921,1447,731,432,06,073,000600
San Diego County,California,4507,2310,1163,522,06,073,000700
San Diego County,California,4232,1745,1310,549,06,073,000800
San Diego County,California,5796,3138,1141,469,06,073,000900
San Diego County,California,5328,3187,1086,267,06,073,001000
San Diego County,California,3356,1673,787,225,06,073,001100
San Diego County,California,5983,2960,927,551,06,073,001200
San Diego County,California,6531,3089,1406,386,06,073,001300
San Diego County,California,3198,1586,761,246,06,073,001400
San Diego County,California,3894,1696,989,264,06,073,001500
San Diego County,California,5012,1834,1360,362,06,073,001600
San Diego County,California,4568,2189,1106,218,06,073,001700
San Diego County,California,5235,2026,1201,381,06,073,001800
San Diego County,California,3321,1350,1024,408,06,073,001900
San Diego County,California,3461,715,1229,881,06,073,002001
San Diego County,California,2656,1048,628,268,06,073,002002
San Diego County,California,4880,2281,1138,440,06,073,002100
San Diego County,California,3571,1195,682,47,06,073,002201
San Diego County,California,5333,1648,867,500,06,073,002202
San Diego County,California,3056,1101,636,190,06,073,002301
San Diego County,California,7468,2244,1666,489,06,073,002302
San Diego County,California,4758,1826,1127,160,06,073,002401
San Diego County,California,5107,1624,942,278,06,073,002402
San Diego County,California,6106,1651,1356,442,06,073,002501
San Diego County,California,6326,1743,1568,579,06,073,002502
San Diego County,California,5663,1856,1108,420,06,073,002601
San Diego County,California,4186,1271,888,155,06,073,002602
San Diego County,California,5972,2043,1173,544,06,073,002702
San Diego County,California,7390,2191,1739,623,06,073,002703
San Diego County,California,4757,1193,1286,574,06,073,002705
San Diego County,California,5602,1770,976,263,06,073,002707
San Diego County,California,5914,1749,1012,410,06,073,002708
San Diego County,California,3913,1243,748,172,06,073,002709
San Diego County,California,4524,1279,1033,360,06,073,002710
San Diego County,California,3396,1087,535,283,06,073,002711
San Diego County,California,4835,1419,1117,564,06,073,002712
San Diego County,California,3204,489,371,288,06,073,002801
San Diego County,California,5495,1922,1100,719,06,073,002803
San Diego County,California,5193,1142,946,368,06,073,002804
San Diego County,California,7176,2282,1464,619,06,073,002902
San Diego County,California,4125,1031,1095,464,06,073,002903
San Diego County,California,8445,1601,575,316,06,073,002904
San Diego County,California,4683,1450,1032,382,06,073,002905
San Diego County,California,4422,1229,884,587,06,073,003001
San Diego County,California,5151,1587,1238,559,06,073,003003
San Diego County,California,5116,1569,1131,315,06,073,003004
San Diego County,California,3846,1186,1053,466,06,073,003101
San Diego County,California,6559,1684,1719,950,06,073,003103
San Diego County,California,4373,1367,879,468,06,073,003105
San Diego County,California,6426,1961,1565,965,06,073,003107
San Diego County,California,3881,1111,838,358,06,073,003108
San Diego County,California,3373,1007,990,533,06,073,003109
San Diego County,California,7220,1710,1617,672,06,073,003111
San Diego County,California,4578,981,1425,461,06,073,003112
San Diego County,California,5635,1926,1415,922,06,073,003113
San Diego County,California,3768,937,1093,518,06,073,003114
San Diego County,California,7067,1747,1589,999,06,073,003115
San Diego County,California,5421,1522,1131,435,06,073,003201
San Diego County,California,4713,1294,1216,602,06,073,003202
San Diego County,California,3719,1034,885,658,06,073,003204
San Diego County,California,6506,1933,1426,922,06,073,003207
San Diego County,California,6841,1711,1931,665,06,073,003208
San Diego County,California,5421,1479,1405,427,06,073,003209
San Diego County,California,3496,965,823,561,06,073,003211
San Diego County,California,3715,807,976,768,06,073,003212
San Diego County,California,4448,1233,1322,638,06,073,003213
San Diego County,California,5278,1510,1354,550,06,073,003214
San Diego County,California,3440,1076,626,287,06,073,003301
San Diego County,California,4602,1503,768,363,06,073,003303
San Diego County,California,4312,1130,813,322,06,073,003304
San Diego County,California,5913,1462,1197,510,06,073,003305
San Diego County,California,6857,2298,1391,980,06,073,003401
San Diego County,California,3583,1060,832,284,06,073,003403
San Diego County,California,5209,1652,970,446,06,073,003404
San Diego County,California,5014,1415,901,302,06,073,003501
San Diego County,California,4880,1657,879,306,06,073,003502
San Diego County,California,2839,686,586,97,06,073,003601
San Diego County,California,3398,880,650,266,06,073,003602
San Diego County,California,4539,1384,881,368,06,073,003603
San Diego County,California,6640,1824,46,0,06,073,003800
San Diego County,California,4287,1155,860,271,06,073,003901
San Diego County,California,4811,1300,958,276,06,073,003902
San Diego County,California,5194,1478,1301,338,06,073,004000
San Diego County,California,7261,3365,1083,346,06,073,004100
San Diego County,California,6080,2056,1716,815,06,073,004200
San Diego County,California,3870,1711,983,341,06,073,004300
San Diego County,California,4014,1831,942,450,06,073,004400
San Diego County,California,2683,1228,624,111,06,073,004501
San Diego County,California,1877,1082,398,113,06,073,004600
San Diego County,California,1938,623,406,199,06,073,004700
San Diego County,California,4154,1571,614,190,06,073,004800
San Diego County,California,5477,1418,1296,515,06,073,004900
San Diego County,California,2528,788,395,156,06,073,005000
San Diego County,California,6643,2905,2017,621,06,073,005100
San Diego County,California,5808,3026,1312,475,06,073,005200
San Diego County,California,5461,2823,1260,857,06,073,005300
San Diego County,California,7255,3452,1736,1679,06,073,005400
San Diego County,California,216,77,0,0,06,073,005500
San Diego County,California,4277,2096,1069,810,06,073,005600
San Diego County,California,1641,858,410,200,06,073,005700
San Diego County,California,3078,1976,546,141,06,073,005800
San Diego County,California,3176,1721,695,441,06,073,005900
San Diego County,California,3881,1333,882,1067,06,073,006000
San Diego County,California,2365,1115,577,295,06,073,006100
San Diego County,California,23,7,0,0,06,073,006200
San Diego County,California,3335,629,5,0,06,073,006300
San Diego County,California,2967,965,891,616,06,073,006500
San Diego County,California,1726,710,78,9,06,073,006600
San Diego County,California,2404,951,612,372,06,073,006801
San Diego County,California,5626,1874,1168,502,06,073,006802
San Diego County,California,5660,1287,1486,783,06,073,006900
San Diego County,California,3097,646,992,724,06,073,007002
San Diego County,California,4711,731,1592,1211,06,073,007100
San Diego County,California,6140,829,1394,924,06,073,007200
San Diego County,California,4878,2373,1195,377,06,073,007301
San Diego County,California,2122,590,686,412,06,073,007302
San Diego County,California,6742,2826,1652,611,06,073,007400
San Diego County,California,4016,2084,755,224,06,073,007501
San Diego County,California,3030,1724,526,286,06,073,007502
San Diego County,California,4612,1537,991,834,06,073,007600
San Diego County,California,4022,1903,797,529,06,073,007701
San Diego County,California,3914,1809,706,388,06,073,007702
San Diego County,California,6044,3048,616,430,06,073,007800
San Diego County,California,4335,2134,565,358,06,073,007903
San Diego County,California,3047,1450,414,178,06,073,007905
San Diego County,California,3469,2087,481,111,06,073,007907
San Diego County,California,3229,1663,376,164,06,073,007908
San Diego County,California,3049,1622,425,175,06,073,007910
San Diego County,California,2984,1214,640,446,06,073,008002
San Diego County,California,4016,2020,725,437,06,073,008003
San Diego County,California,4051,1968,781,408,06,073,008006
San Diego County,California,3898,1503,884,828,06,073,008101
San Diego County,California,3367,776,1097,625,06,073,008102
San Diego County,California,2602,624,663,935,06,073,008200
San Diego County,California,3043,533,880,1004,06,073,008301
San Diego County,California,3545,433,1017,1381,06,073,008303
San Diego County,California,2070,1296,89,69,06,073,008305
San Diego County,California,3248,482,947,872,06,073,008306
San Diego County,California,3802,693,979,1053,06,073,008307
San Diego County,California,6042,1058,1656,1652,06,073,008310
San Diego County,California,3105,438,1050,775,06,073,008311
San Diego County,California,3701,745,1065,1096,06,073,008312
San Diego County,California,2156,350,707,591,06,073,008313
San Diego County,California,6885,1530,2194,1431,06,073,008324
San Diego County,California,5997,1497,1901,844,06,073,008327
San Diego County,California,5795,1323,1768,612,06,073,008328
San Diego County,California,6565,2805,1530,399,06,073,008329
San Diego County,California,5859,1400,1794,605,06,073,008330
San Diego County,California,2459,463,948,244,06,073,008331
San Diego County,California,15549,4683,4587,639,06,073,008333
San Diego County,California,9956,2326,3114,614,06,073,008335
San Diego County,California,2209,436,775,272,06,073,008336
San Diego County,California,4513,1190,1281,602,06,073,008337
San Diego County,California,2106,804,172,62,06,073,008339
San Diego County,California,8995,4644,990,749,06,073,008340
San Diego County,California,7941,2876,777,922,06,073,008341
San Diego County,California,5206,1949,571,287,06,073,008343
San Diego County,California,3523,919,897,729,06,073,008344
San Diego County,California,4108,708,1118,1185,06,073,008345
San Diego County,California,5021,1544,1656,520,06,073,008346
San Diego County,California,6837,2277,1901,789,06,073,008347
San Diego County,California,5836,2132,1456,625,06,073,008348
San Diego County,California,3890,1262,918,666,06,073,008349
San Diego County,California,6327,2210,1796,555,06,073,008350
San Diego County,California,4253,1462,1028,550,06,073,008351
San Diego County,California,4198,1302,1003,577,06,073,008352
San Diego County,California,5271,1356,1542,760,06,073,008353
San Diego County,California,7703,2838,1911,624,06,073,008354
San Diego County,California,3502,1014,990,360,06,073,008355
San Diego County,California,4244,1568,1084,450,06,073,008356
San Diego County,California,5349,1685,1404,491,06,073,008357
San Diego County,California,7477,2123,1866,1203,06,073,008358
San Diego County,California,4659,2141,700,211,06,073,008359
San Diego County,California,6484,2493,1506,674,06,073,008360
San Diego County,California,2493,1200,459,159,06,073,008361
San Diego County,California,3361,1060,823,367,06,073,008362
San Diego County,California,5627,2441,368,283,06,073,008363
San Diego County,California,5798,2963,865,327,06,073,008364
San Diego County,California,3287,839,1184,298,06,073,008365
San Diego County,California,7277,1804,2404,529,06,073,008366
San Diego County,California,5676,1929,1502,725,06,073,008501
San Diego County,California,6324,2170,1562,955,06,073,008502
San Diego County,California,6574,2202,1707,1076,06,073,008503
San Diego County,California,6045,1732,1522,1179,06,073,008504
San Diego County,California,6437,1984,2041,687,06,073,008505
San Diego County,California,4591,1459,1350,554,06,073,008506
San Diego County,California,8312,2023,2128,1263,06,073,008507
San Diego County,California,7811,2378,1901,1191,06,073,008509
San Diego County,California,6859,1874,1821,1314,06,073,008510
San Diego County,California,3750,1490,939,296,06,073,008511
San Diego County,California,4583,960,1444,859,06,073,008512
San Diego County,California,2945,759,895,454,06,073,008513
San Diego County,California,6860,2085,1569,598,06,073,008600
San Diego County,California,3336,1395,445,205,06,073,008701
San Diego County,California,5080,1567,1042,797,06,073,008702
San Diego County,California,7222,2336,1478,892,06,073,008800
San Diego County,California,4930,2059,1100,646,06,073,008901
San Diego County,California,2110,811,480,398,06,073,008902
San Diego County,California,4432,1264,814,353,06,073,009000
San Diego County,California,5710,1373,1907,1319,06,073,009101
San Diego County,California,3506,1267,822,494,06,073,009102
San Diego County,California,3574,1021,939,835,06,073,009103
San Diego County,California,3076,707,919,749,06,073,009104
San Diego County,California,4634,704,562,368,06,073,009106
San Diego County,California,4604,1887,736,456,06,073,009107
San Diego County,California,5668,2033,802,422,06,073,009201
San Diego County,California,5726,1952,1541,621,06,073,009202
San Diego County,California,4860,2009,1000,521,06,073,009301
San Diego County,California,8582,4020,1601,639,06,073,009304
San Diego County,California,4972,1704,1019,484,06,073,009305
San Diego County,California,5678,2171,1515,673,06,073,009306
San Diego County,California,5110,1055,53,0,06,073,009400
San Diego County,California,3995,1293,928,739,06,073,009502
San Diego County,California,6491,1447,1924,607,06,073,009504
San Diego County,California,7160,1921,2252,1017,06,073,009505
San Diego County,California,4316,1108,1333,612,06,073,009506
San Diego County,California,3498,948,886,543,06,073,009507
San Diego County,California,4018,1778,741,304,06,073,009509
San Diego County,California,4780,1871,183,19,06,073,009510
San Diego County,California,4418,1714,83,47,06,073,009511
San Diego County,California,3870,1048,1106,854,06,073,009602
San Diego County,California,5097,2350,1084,617,06,073,009603
San Diego County,California,3767,1281,922,503,06,073,009604
San Diego County,California,3490,845,1037,700,06,073,009703
San Diego County,California,5817,1542,1473,1169,06,073,009704
San Diego County,California,3833,878,976,826,06,073,009705
San Diego County,California,7260,1412,2098,1955,06,073,009706
San Diego County,California,5130,950,1404,1305,06,073,009801
San Diego County,California,6352,1969,1691,906,06,073,009802
San Diego County,California,4630,1025,1301,1016,06,073,009804
San Diego County,California,4833,1195,1464,924,06,073,009805
San Diego County,California,808,262,0,0,06,073,009901
San Diego County,California,0,0,0,0,06,073,009902
San Diego County,California,3597,853,1028,614,06,073,010001
San Diego County,California,6390,1586,1430,1118,06,073,010003
San Diego County,California,4654,918,1278,858,06,073,010004
San Diego County,California,7939,1968,1691,1075,06,073,010005
San Diego County,California,7173,2025,1397,383,06,073,010009
San Diego County,California,5764,1221,1384,1064,06,073,010010
San Diego County,California,4238,1120,1019,501,06,073,010011
San Diego County,California,5229,1485,1000,533,06,073,010012
San Diego County,California,5844,1721,1171,563,06,073,010013
San Diego County,California,20851,6958,5159,1268,06,073,010014
San Diego County,California,2872,912,577,151,06,073,010015
San Diego County,California,6574,1883,1387,531,06,073,010103
San Diego County,California,3625,911,930,434,06,073,010104
San Diego County,California,6369,1830,1427,651,06,073,010106
San Diego County,California,6864,1904,1585,862,06,073,010107
San Diego County,California,5016,1445,1015,748,06,073,010109
San Diego County,California,8674,2147,2273,782,06,073,010110
San Diego County,California,3488,934,856,407,06,073,010111
San Diego County,California,4979,1397,934,368,06,073,010112
San Diego County,California,6332,1896,1543,900,06,073,010200
San Diego County,California,4852,1378,1076,716,06,073,010300
San Diego County,California,2513,773,594,177,06,073,010401
San Diego County,California,6063,2082,1139,349,06,073,010402
San Diego County,California,1466,367,473,244,06,073,010501
San Diego County,California,5891,1787,1270,387,06,073,010502
San Diego County,California,2623,316,841,878,06,073,010601
San Diego County,California,2760,590,973,454,06,073,010800
San Diego County,California,2063,357,666,557,06,073,010900
San Diego County,California,3646,1124,944,829,06,073,011000
San Diego County,California,4627,1026,1342,826,06,073,011100
San Diego County,California,2913,920,45,0,06,073,011300
San Diego County,California,5687,1597,1299,300,06,073,011601
San Diego County,California,3660,1087,811,322,06,073,011602
San Diego County,California,6501,1849,1764,1039,06,073,011700
San Diego County,California,3770,1212,934,362,06,073,011801
San Diego County,California,7688,2398,1488,434,06,073,011802
San Diego County,California,5631,1535,1406,1260,06,073,011902
San Diego County,California,3772,673,1057,780,06,073,012002
San Diego County,California,3586,1084,876,444,06,073,012003
San Diego County,California,2517,646,534,323,06,073,012101
San Diego County,California,3915,1102,905,402,06,073,012102
San Diego County,California,3410,1000,751,351,06,073,012200
San Diego County,California,1729,526,319,330,06,073,012302
San Diego County,California,3659,884,930,872,06,073,012303
San Diego County,California,3468,1027,782,535,06,073,012304
San Diego County,California,3867,1069,895,447,06,073,012401
San Diego County,California,5357,1468,1376,580,06,073,012402
San Diego County,California,2876,658,693,589,06,073,012501
San Diego County,California,4656,1452,961,365,06,073,012502
San Diego County,California,4502,1124,1225,490,06,073,012600
San Diego County,California,5057,1558,1149,632,06,073,012700
San Diego County,California,3856,1032,982,583,06,073,012800
San Diego County,California,3319,898,807,511,06,073,012900
San Diego County,California,6617,2030,1380,864,06,073,013000
San Diego County,California,6829,2030,1489,681,06,073,013102
San Diego County,California,2725,752,700,297,06,073,013103
San Diego County,California,5970,1772,1135,762,06,073,013104
San Diego County,California,7276,1861,1378,957,06,073,013203
San Diego County,California,3989,1085,995,455,06,073,013204
San Diego County,California,2392,600,428,249,06,073,013205
San Diego County,California,7202,1834,1484,1281,06,073,013206
San Diego County,California,5228,1411,1270,695,06,073,013301
San Diego County,California,5055,1373,1341,795,06,073,013302
San Diego County,California,5196,1596,1362,877,06,073,013303
San Diego County,California,4255,1458,944,448,06,073,013306
San Diego County,California,4419,1117,1090,654,06,073,013307
San Diego County,California,3765,929,825,322,06,073,013308
San Diego County,California,7212,1985,1874,923,06,073,013309
San Diego County,California,28861,8366,7019,2469,06,073,013310
San Diego County,California,11264,3607,2392,750,06,073,013311
San Diego County,California,2831,831,640,228,06,073,013312
San Diego County,California,14371,5155,2683,768,06,073,013313
San Diego County,California,19151,6303,3794,1090,06,073,013314
San Diego County,California,4199,1066,1287,824,06,073,013401
San Diego County,California,5438,1152,1507,908,06,073,013409
